  326 MEJONESB.WND   44.65  -67.65   ME JONESBORO
  327 MELONGFA.WND   45.23  -70.20   ME LONG FALLS DAM
  328 MEMILLIN.WND   45.65  -68.70   ME MILLINOCKET
  329 MEPORTLA.WND   43.65  -70.32   ME PORTLAND WB AIRPORT
  330 MEPRESQU.WND   46.65  -68.00   ME PRESQUE ISLE
  331 MERIPOGE.WND   45.88  -69.18   ME RIPOGENUS DAM
  332 MERUMFOR.WND   44.52  -70.57   ME RUMFORD 3 SW
  333 MESQUAPA.WND   46.55  -68.33   ME SQUA PAN DAM
  334 MIALBERT.WND   46.65  -88.48   MI ALBERTA FORD FRCNTR
  335 MIALMA.WND     43.38  -84.67   MI ALMA
  336 MIALPENA.WND   45.07  -83.53   MI ALPENA STATE FOREST
  337 MIANNARB.WND   42.28  -83.75   MI ANN ARBOR U OF MICH
  338 MIBIGRAP.WND   43.07  -83.53   MI BIG RAPIDS WATERWRK
  339 MICARO.WND     43.48  -83.40   MI CARO
  340 MICHATHA.WND   46.35  -86.93   MI CHATHAM EXP FARM
  341 MICHEBOY.WND   45.63  -84.50   MI CHEBOYGAN
  342 MIFAYETT.WND   45.63  -85.35   MI FAYETTE SACK BAY
  343 MIFIFELA.WND   44.55  -85.38   MI FIFE LAKE ST FOREST
  344 MIGULLLA.WND   42.40  -83.68   MI GULL LAKE EXP FARM
  345 MIHALEFI.WND   44.45  -83.68   MI HALE FIVE CHNNLS DM
  346 MIHESPER.WND   43.57  -86.03   MI HESPERIA
  347 MIHOUGHA.WND   47.17  -88.50   MI HOUGHTON FAA AP
  348 MIHOUGHL.WND   44.27  -84.73   MI HOUGHTON LK ST FOR
  349 MIIRONWO.WND   46.45  -90.18   MI IRONWOOD POWER CO
  350 MIISHPEM.WND   46.48  -87.65   MI ISHPEMING
  351 MIJACKSO.WND   42.27  -84.47   MI JACKSON CAA AP
  352 MIMANIST.WND   44.22  -86.30   MI MANISTEE POWER CO
  353 MINEWBER.WND   46.33  -86.30   MI NEWBERRY STATE HOSP
  354 MISANDUS.WND   43.42  -82.83   MI SANDUSKY
  355 MISAULTS.WND   46.47  -84.37   MI SAULT ST MAR WBAP
  356 MISOUTHH.WND   42.40  -86.27   MI SOUTH HAVEN EX FARM
  357 MISTJAME.WND   45.75  -85.50   MI ST JAMES BEAVER IS
  358 MISTEPHE.WND   45.40  -87.72   MI STEPHENSON 5 W
  359 MIWATERS.WND   46.28  -89.17   MI WATERSMEET US FRST
  360 MNARGYLE.WND   48.33  -96.78   MN ARGYLE
  361 MNARTICH.WND   45.37  -96.13   MN ARTICHOKE LAKE
  362 MNBABBIT.WND   47.68  -91.92   MN BABBITT 2 SE
  363 MNBAUDET.WND   48.42  -94.57   MN BAUDETTE 21SSE
  364 MNCAMBRI.WND   45.57  -93.23   MN CAMBRIDGE EPLTC COL
  365 MNCANBY.WND    44.72  -96.28   MN CANBY
  366 MNCASSLA.WND   47.38  -94.63   MN CASS LAKE FOR  STA
  367 MNCOOK.WND     47.87  -93.07   MN COOK 18W
  368 MNFOSSTO.WND   47.57  -95.73   MN FOSSTON PWR PLNT
  369 MNGLENWO.WND   45.65  -95.40   MN GLENWOOD
  370 MNGRANDM.WND   47.75  -90.33   MN GRAND MARAIS CST GD
  371 MNGUNFLI.WND   48.08  -90.75   MN GUNFLINT LODGE
  372 MNHIBBIN.WND   47.38  -92.85   MN HIBBING FAA AP
  373 MNINTFAL.WND   48.57  -93.38   MN INT FALLS WP AP
  374 MNISLE.WND     46.25  -93.52   MN ISLE 8N
  375 MNMINNST.WND   44.88  -93.22   MN MINN-ST PAUL WBAP
  376 MNMOOSEL.WND   46.45  -92.75   MN MOOSE LAKE 1 SE
  377 MNMORRIS.WND   45.58  -95.92   MN MORRIS WC SCHOOL
  378 MNNORTHM.WND   44.17  -94.03   MN NORTH MANKATO
  379 MNPARKRA.WND   46.90  -95.05   MN PARK RAPIDS
  380 MNPINERV.WND   46.68  -94.12   MN PINE RVR DAM CRS LK
  381 MNPOKEGA.WND   47.25  -93.58   MN POKEGAMA DAM
  382 MNREDLAK.WND   47.88  -96.27   MN RED LAKE FALLS
  383 MNROSEMO.WND   44.70  -93.12   MN ROSEMOUNT AG EX STA
  384 MNROTHSA.WND   46.48  -96.27   MN ROTHSAY
  385 MNSANDYL.WND   46.80  -93.32   MN SANDY LK DM LIBBY
  386 MNSTCLOU.WND   45.58  -94.18   MN ST CLOUD WB AP
  387 MNSTEWAR.WND   44.73  -94.50   MN STEWART
  388 MNTRACYP.WND   44.23  -95.62   MN TRACY POWER PLANT
  389 MNWADENA.WND   46.43  -95.13   MN WADENA
  390 MNWANNAS.WND   48.57  -95.63   MN WANNASKA 8SE
  391 MNWILLMA.WND   45.13  -95.02   MN WILLMAR STATE HOSP
  392 MNWINNEB.WND   43.77  -94.17   MN WINNEBAGO
  393 MNZUMBRO.WND   44.30  -92.67   MN ZUMBROTA
  394 MOANDERS.WND   36.63  -94.45   MO ANDERSON 1 SW
  395 MOARCADI.WND   37.58  -90.62   MO ARCADIA
  396 MOCANTON.WND   40.15  -91.52   MO CANTON L AND D 20
  397 MOCARROL.WND   39.37  -93.50   MO CARROLLTON
  398 MODONIPH.WND   36.62  -90.83   MO DONIPHAN
