  164 FLTALLAH.WP1   30.45  -84.35   FL TALLAHASSEE WB AP
  165 FLTITUSV.WP1   28.62  -80.83   FL TITUSVILLE 2 W
  166 FLVEROBE.WP1   27.65  -80.42   FL VERO BEACH, FAA AP.
  167 FLWEEKIW.WP1   28.52  -82.58   FL WEEKI WACHEE
  168 GAALMA.WP1     31.53  -82.53   GA ALMA CAA AIRPORT
  169 GAAPPLIN.WP1   33.57  -82.33   GA APPLING 2NW
  170 GAATLANT.WP1   33.65  -84.42   GA ATLANTA WB AIRPORT
  171 GABROOKL.WP1   32.38  -81.68   GA BROOKLET 1 W
  172 GABRUNSW.WP1   31.15  -81.50   GA BRUNSWICK
  173 GACORNEL.WP1   34.52  -83.53   GA CORNELIA
  174 GADUBLIN.WP1   32.55  -82.92   GA DUBLIN
  175 GAJASPER.WP1   34.47  -84.43   GA JASPER
  176 GALAFAYE.WP1   34.70  -85.28   GA LAFAYETTE
  177 GAMACON.WP1    32.70  -83.65   GA MACON WB AIRPORT
  178 GAMORGAN.WP1   31.53  -84.62   GA MORGAN 1W
  179 GASILOAM.WP1   33.53  -83.10   GA SILOAM
  180 GATALBOT.WP1   32.67  -84.53   GA TALBOTTON
  181 GATIFTON.WP1   31.47  -83.53   GA TIFTON 2 N
  182 IACASTAN.WP1   42.07  -95.82   IA CASTANA 4E
  183 IACLARIN.WP1   40.73  -95.02   IA CLARINDA
  184 IADESMOI.WP1   41.53  -93.65   IA DES MOINES WB AP
  185 IADECORA.WP1   43.30  -91.80   IA DECORAH DRY RUN
  186 IADUBUQU.WP1   42.40  -90.70   IA DUBUQUE WB AIRPORT
  187 IAFORTDO.WP1   42.52  -94.17   IA FORT DODGE
  188 IAFOREST.WP1   43.28  -93.63   IA FOREST CITY
  189 IAGRUNDY.WP1   42.40  -92.72   IA GRUNDY CENTER 5NE
  190 IAGRINNE.WP1   41.73  -92.73   IA GRINNELL
  191 IAGUTHRI.WP1   41.68  -94.50   IA GUTHRIE CENTER
  192 IAIAFALL.WP1   42.53  -93.27   IA IOWA FALLS 1N
  193 IAIOWACI.WP1   41.67  -91.53   IA IOWA CITY
  194 IAOAKLAN.WP1   41.32  -95.98   IA OAKLAND 2 E
  195 IAOELWEI.WP1   42.69  -91.92   IA OELWEIN
  196 IAOSAGE.WP1    43.28  -92.80   IA OSAGE
  197 IAROCK.WP1     43.43  -96.17   IA ROCK RAPIDS
  198 IASIBLEY.WP1   43.40  -95.75   IA SIBLEY
  199 IASTORML.WP1   42.63  -95.18   IA STORM LAKE 2 E
